Conversion Object Name,SAP Modules,Data Type,Rule #,Profiling Rule Descriptions,Quality Dimension,Attribute Group
Material Master,MM - Material Management,Master,4,Number of materials with exact same description,Uniqueness,Duplicate Check
Material Master,MM - Material Management,Master,5,"Identify duplicate materials based on combination of material type, description, material group, base UOM",Uniqueness,Duplicate Check
Material Master,MM - Material Management,Master,6,All characters must be Upper Case for field MAKTX Material Description (Short Text) ,Conformity,Material Description
Material Master,MM - Material Management,Master,7,"No special characters (examples: \ | $ # + * "" % () / ^) in Material Description (Short Text) 
[Recommendation: avoid special char as much as possible to avoid data loading issues in S/4 during migration]",Conformity,Material Description
Material Master,MM - Material Management,Master,8,Each material should have a Base Unit of Measure,Completeness,UoM
Material Master,MM - Material Management,Master,9,Any Materials missing the Alternate Unit of Measure,Completeness,UoM
Material Master,MM - Material Management,Master,10,"Check materials with blank material groups
Material group should not be greater than 9 characters",Conformity,Material Group
Material Master,MM - Material Management,Master,11,Check Material with blank item category group,Completeness,Category Group
Material Master,MM - Material Management,Master,12,Check Material with blank Product Hierarchy,Completeness,Product Hierarchy
Material Master,MM - Material Management,Master,13,Check Materials with no size and dimensions maintained,Completeness,Dimensions
Material Master,MM - Material Management,Master,14,"Raw material should have following data available
Purchasing Data - Plant where the material is procured, GR processing time 
Accounting Data - Price control (standard or moving average),price, price unit",Completeness,Raw Material
Material Master,MM - Material Management,Master,15,"Finished  material should have following data available
Sales Data - Sales organization from which material is sold,  
Accounting Data - Valuation area, Price control (standard or moving average),price, price unit",Completeness,Finished  Material
Material Master,MM - Material Management,Master,16,"Semi Finished  material should have following data available
Sales Data - Sales organization from which material is sold,  
Accounting Data - Valuation area, Price control (standard or moving average),price, price unit",Completeness,Semi Finished
Material Master,MM - Material Management,Master,17,"For materials which are costed, costing data should be available - costing lot, price",Completeness,Costing Data
Material Master,MM - Material Management,Master,18,"If a material is planned using MRP, MRP type, lot size, MRP controller, Scheduling margin key, availability check data should be available",Completeness,MRP Data
Material Master,MM - Material Management,Master,19,No blanks or nulls in field SPRAS for language key,Completeness,Language Key
Material Master,MM - Material Management,Master,20,No blanks or null in field MBRSH for industry sector,Completeness,Industry Sector
Material Master,MM - Material Management,Master,21,No blanks or nulls in field MTART for Material Type,Completeness,Material Type
Material Master,MM - Material Management,Master,22,"Materials that have blank EAN Numbers. Typically for materials that are sellable, EAN is required. Without EAN the unique barcodes cannot be generated.",Completeness,EAN
Material Master,MM - Material Management,Master,23,"Check Materials with no EAN or UPC maintained. If EAN or UPC has been maintained, the length should not be greater than 18 characters",Completeness,EAN_UPC
Material Master,MM - Material Management,Master,24,"Length of field ""REM_SHELF_LIFE"" Less than or equal to  4
The remaining shelf life field has a limit of 4 characters. If a material has Remaining Shelf life greater than 4, the material cannot be created in S4",Conformity,REM_SHELF_LIFE
Material Master,MM - Material Management,Master,25,Transport Group is missing. Transportation group is a key field for sellable materials.,Completeness,Transportation Group
Cost Center,Finance,Master,1,List of all Cost centers whose Validity Period is in the past.,Relevancy,Active Count
Cost Center,Finance,Master,2,"Cost centers that are not valid, but not yet blocked. ",Relevancy,Active Count
Cost Center,Finance,Master,3,"List of all cost centers that are blocked by: Actual Primary Costs, Actual Secondary Costs, Actual Revenues, Plan Primary Costs, Plan Secondary Costs, Plan Revenues",Relevancy,Active Count
Cost Center,Finance,Master,4,List of Cost centers that are assigned to an inactive or invalid Profit Center,Relevancy,Active Count
Cost Center,Finance,Master,5,"Cost Centers with blank ""Department"" values",Validity,Department
Cost Center,Finance,Master,6,"Cost Centers with blank ""Hierarchy Area"" values",Validity,Hierarchy Area
Cost Center,Finance,Master,7,"Cost Centers with blank ""Profit Center"" values",Validity,Profit Center
Cost Center,Finance,Master,8,"Cost Centers with blank ""Functional Area"" values",Validity,Functional Area
Cost Center,Finance,Master,9,"Cost Centers with blank ""Business Area"" values",Validity,Business Area
Cost Center,Finance,Master,10,Cost Centers with blank or invalid Currency values,Validity,Currency
Cost Center,Finance,Master,11,Cost Centers with blank or invalid Company Code,Validity,Company Code
Cost Center,Finance,Master,12,List of all Cost centers that do not have an owner (User Responsible) assigned to it. Or having inactive owners.,Validity,Owners
Profit Center,Finance,Master,1,List of all Inactive Profit Centers,Relevancy,Active Count
Profit Center,Finance,Master,2,"Profit centers that are not valid, but not yet blocked.",Relevancy,Active Count
Profit Center,Finance,Master,3,List of all blocked profit centers,Relevancy,Active Count
Profit Center,Finance,Master,4,List of all profit centers by company code - To check on which profit centers are company code specific.,Relevancy,Active Count
Profit Center,Finance,Master,5,List of all profit centers that do not have an owner (User Responsible) assigned to it. Or having inactive owners.,Validity,Owners
Profit Center,Finance,Master,6,Maximum length for the name of profit center should be 20 Char,Conformity,Profit Center Name
Profit Center,Finance,Master,7,Maximum length for the long text of profit center should be 40 Char,Conformity,Long Text
Profit Center,Finance,Master,8,"All The profit centers in table CEPC with field ABTEI (""Description"") as blank",Completeness,Description
Profit Center,Finance,Master,9,"Profit Centers with blank ""Profit Center Group"" values",Completeness,Profit Center Group
Profit Center,Finance,Master,10,"Profit Centers with blank ""Segment"" values",Completeness,Segment
Profit Center,Finance,Master,11,"Profit Centers that are marked as ""Dummy"" Profit centers - Profit Center having text Dummy in Name/Short Text/Long Text/Profit center code",Validity,Description
GL Account,Finance,Master,1,List all the GLs that are blocked for posting. Check if the GL is blocked. Table: SKB1. Field: XSPEB. This field is marked as 'X' if the GL is blocked.,Relevancy,Active Count
GL Account,Finance,Master,2,"Short Text length should be available and not exceed 50 characters
2. Should not contain special characters.",Conformity,Short Text
GL Account,Finance,Master,3,"Long Text length should not exceed 50 characters if available.
2. Should not contain special characters.",Conformity,Long Text
GL Account,Finance,Master,4,GL Field status group should not be blank and Legacy to SAP GL field Status group should be available if applicable.,Completeness,Field Status Group
GL Account,Finance,Master,5,"GL Foreign Currency assigned should be same as Company code currency.
",Integrity,Currency
GL Account,Finance,Master,6,GL Group Accounts should not be blank and GL Group Accounts values should exist in GL Account field,Completeness,Group Account
GL Account,Finance,Master,7,List of all accounts having a Trading partner assigned to it,Completeness,Trading Partner
Asset Master,Finance,Master,1,"Identify active assets (Tables ANLA and field DEAKT, if this field has date, then from that date Asset is Deactivated and Depreciation is not calculated from his date)",Relevancy,Active Count
Asset Master,Finance,Master,2,Identify assets which has exactly same asset description values,Uniqueness,Duplicate Check
Asset Master,Finance,Master,3,No blanks or nulls in Asset Class,Completeness,Asset Class
Asset Master,Finance,Master,4,All characters must be Upper Case and Alphanumeric for Asset Class,Conformity,Asset Class
Asset Master,Finance,Master,5,Asset description length should be available and not exceed 50 characters. Should not contain special characters.,Conformity,Description
Asset Master,Finance,Master,6,No leading or trailing spaces in Asset description (TXT50),Conformity,Description
Asset Master,Finance,Master,7,All characters must be Upper Case and Alphanumeric for Asset Description,Conformity,Description
Asset Master,Finance,Master,8,Additional Asset description length should not exceed 50 characters if available.. Should be all in uppercase and not contain special characters.,Conformity,Description
Asset Master,Finance,Master,9,No blanks or null in Main Asset Number,Completeness,Asset Number
Asset Master,Finance,Master,10,"No special characters (examples: \ | $ # + * "") in Main Asset Number. Field ANLN1 Main Asset Number cannot exceed character limit: 12",Conformity,Asset Number
Asset Master,Finance,Master,11,No blanks or nulls in Asset Category Code,Completeness,Asset Category
Asset Master,Finance,Master,12,No nulls or blanks in Serial Number,Completeness,Serial Number
Asset Master,Finance,Master,13,No blanks or nulls in Date of Purchase,Completeness,Purchase Date
Asset Master,Finance,Master,14,Field AIBDT Date of Purchase cannot exceed character limit: 8 in the format YYYY.MM.DD,Conformity,Purchase Date
Asset Master,Finance,Master,15,Date of purchase should be the before Capitalization date,Validity,Purchase Date
Asset Master,Finance,Master,16,All characters must be Upper Case and Alphanumeric for Company Code,Conformity,Company Code
Asset Master,Finance,Master,17,Capitalization Date should not be blank,Completeness,Capitalization Date
Asset Master,Finance,Master,18,Field AKTIV Capitalization Date cannot exceed character limit: 8 and in the format YYYY.MM.DD,Conformity,Capitalization Date
Asset Master,Finance,Master,19,Country should not be null or blank,Completeness,Country
Asset Master,Finance,Master,20,"Depreciation Area should not be null or blank, numeric and length of 2 or less",Conformity,Depreciation Area
Asset Master,Finance,Master,21,Useful life needs to be available for all depreciation areas. ,Completeness,Useful Life
Asset Master,Finance,Master,22,Cost Center should not be blank,Completeness,Cost Center
Asset Master,Finance,Master,23,Cost center mapped to asset should not be blocked or marked for deletion.,Integrity,Cost Center
Bank Master,Finance,Master,1,Identify unused bank master data (not assigned to a valid vendor / not used in a valid house bank) can be left out of the conversion process.,Relevancy,Active Count
Bank Master,Finance,Master,2,Identify records which are marked for deletion in bank master table [BNKA.LOEVM],Relevancy,Active Count
Bank Master,Finance,Master,3,Check bank key values exist,Completeness,Bank Key
Bank Master,Finance,Master,4,"Check to ensure that bank key matches the length restrictions per country standards [T005.LNBKS]. If not maintained appropriately, it may result in a payment failure.",Integrity,Bank Key
Bank Master,Finance,Master,5,Identify duplicate based on bank keys,Uniqueness,Duplicate Check
Bank Master,Finance,Master,6,Check if SWIFT Code is present. Many North American and European countries mandate a SWIFT code in the payment instruction for making a Wire payment in those countries.,Completeness,Swift Code
Bank Master,Finance,Master,7,Check that bank name is not blank or NULL. A blank bank name can result in failures while making a payment to the business partners. ,Completeness,Bank Name
Bank Master,Finance,Master,8,Check Bank Street Address is present. Many payment methods in different countries expect the vendor/customer bank addresses to be sent as part of the payment instruction. This is a key criteria for the bank master. ,Completeness,Address
Bank Master,Finance,Master,9,Check Bank City Name is present. Many payment methods in different countries expect the vendor/customer bank addresses to be sent as part of the payment instruction. This is a key criteria for the bank master. ,Completeness,Address
Bank Master,Finance,Master,10,Check Bank Region Code is present. Many payment methods in different countries expect the vendor/customer bank addresses to be sent as part of the payment instruction. This is a key criteria for the bank master. ,Completeness,Address
Bank Master,Finance,Master,11,Check Bank number exists,Completeness,Bank Number
Bank Master,Finance,Master,12,Check and ensure that the bank number length matches the standard SAP country wise bank number length specifications [T005. LNBKN],Integrity,Bank Number
Material BOM,PP - Production Planning,Master,1,Check BOM Status. Key which describes the current processing status of the BOM. This field can be defaulted in SAP customization setting however its required to pass while creating BOM.,Relevancy,Active Count
Material BOM,PP - Production Planning,Master,2,Check deletion flag for BOMs. Key which describes if the BOM is marked for deletion and not in use,Relevancy,Active Count
Material BOM,PP - Production Planning,Master,3,"Check BOM Header Material has been created in SAP for respective plant. If not maintained then system will throw an error. Check material status at plant and cross-plant level, as well as deletion flag - exclude from BoM pull.
",Integrity,Header Material
Material BOM,PP - Production Planning,Master,4,"Check BOM Plant. It is mandatory to pass SAP plant number. Since BOM master is plant specific, it is required to enter Plant no. while creating BOM. 
",Integrity,Plant
Material BOM,PP - Production Planning,Master,5,Check valid from date. Its required to pass BOM valid from date while creating BOM in SAP system,Validity,Valid from Date
Material BOM,PP - Production Planning,Master,6,"Check valid to date. If the date is in the past, check business discontinuity of the material. ",Validity,Valid to Date
Material BOM,PP - Production Planning,Master,7,"Short text which describes the whole BOM at header level - optional entry
Maximum character length is 40. Description should not be Blank, Do Not Use, etc.",Validity,Short Text
Material BOM,PP - Production Planning,Master,8,"Short text which describes the whole BOM at component level - optional entry
Maximum character length is 40. Description should not be Blank, Do Not Use, etc.",Validity,Short Text
Material BOM,PP - Production Planning,Master,9,"Short text which describes the whole BOM at component level, line 2 - optional entry
Maximum character length is 40. To confirm, material description is currently populated.
Description should not be Blank, Do Not Use, etc.",Validity,Short Text
Recipes,PP - Production Planning,Master,1,Identify records flagged for deletion,Relevancy,Active Count
Recipes,PP - Production Planning,Master,2,Identify records with past date validity to dates and no valid / open process and planned orders. ,Relevancy,Active Count
Recipes,PP - Production Planning,Master,3,"Check respective header material has been created; MATMAS procurement type E or X
ZALB, ZERT, ZAAA material types for production; ZLOC for capacity only, no production",Integrity,Header Material
Recipes,PP - Production Planning,Master,4,Check respective task list description data populated and the char length is not more than 40. Null or Blank or Do Not Use are erroneous. Typically header material description default,Validity,Task List Description
Recipes,PP - Production Planning,Master,5,Check respective header plant data exists,Validity,Plant
Recipes,PP - Production Planning,Master,6,"Check recipe status. Recipe status should be populated, expecting 1 = created for new product development, 4 = released for all",Validity,Recipe Status
Recipes,PP - Production Planning,Master,7,Recipe Usage should be populate from cleansed Master data,Validity,Usage
Recipes,PP - Production Planning,Master,8,Identify records where control key value is NULL or Blank. It is required against all primary and secondary operations; can be copied from primary to secondary resources automatically during recipe creation but primary assignment required,Completeness,Control Key
Recipes,PP - Production Planning,Master,9,Check for any duplicate control keys,Uniqueness,Duplicate Check
Production Version,Finance,Master,1,"Check respective header material has been created for the production version. If a material BoM exists, a Production Version must also exist (Manufacturing orders will have a recipe, Subcon will not have recipe)",Integrity,Header Material
Production Version,Finance,Master,2,"Mandatory to pass SAP plant number. Since production version is plant specific, it required to enter Plant no. while creating production version. If there is no BoM extended to the plant, no production version is required",Integrity,Plant
Production Version,Finance,Master,3,"Specifies the start date for the validity period of an object (such as material, BOM, or routing). Its required to pass PV valid from date while creating PV in SAP system. This date must be greater or equal to material validity.",Validity,Valid from Date
Production Version,Finance,Master,4,Validate all Valid To dates in the past against material discontinuity status,Validity,Valid to Date
Production Version,Finance,Master,5,"Short text which describes the production version. Its Optional to pass text in this field. Maximum character length is 40.
Currently maintained as material description, to check other use cases and ensure consistency",Completeness,Short Text
Production Version,Finance,Master,6,"BOM Usage should be populate from cleansed Master data
1 - Production, 2 - Equipment, 6 - Costing
Review current BoM usages at Apotex today, likely all should move to Production",Integrity,BOM Usage
Production Version,Finance,Master,7,"BOM Alternate should be populated to select correct bill of material
Should not be blank, and populated with a number ",Completeness,Alternate BOM
Production Version,Finance,Master,8,Group ID should be input based on recipe group number; all manufacturing production versions require group ID (procurement type should be E or X),Integrity,Group Id
Production Version,Finance,Master,9,"Group counter should be input based on recipe number within group (typically 1); all manufacturing production versions require group ID counter (not blank)
To review if there are multiple group counters for any material at Apotex",Integrity,Group Counter
Production Version,Finance,Master,10,"Production version ID required for all line items, four alphanumeric character restriction; should not be blank, always four digit (review exception with X?)",Completeness,Production Version ID
Production Version,Finance,Master,11,Production version should exist at minimum once for each unique production BoM ,Completeness,Production Version ID
Equipment,PM - Plant Maintenance,Master,1,"Check valid to date. If the date is in the past, check business discontinuity of the material. ",Relevancy,Active Count
Equipment,PM - Plant Maintenance,Master,2,Check equipment status if the equipment is active or not. [Use EQUI and JEST table with OBJNR as joining condition to check the status from JEST table],Relevancy,Active Count
Equipment,PM - Plant Maintenance,Master,3,Equipment number should not be blank or NULL,Completeness,Equipment Number
Equipment,PM - Plant Maintenance,Master,4,Equipment number field length should not be more than 18 char and should not have any special char in it,Conformity,Equipment Number
Equipment,PM - Plant Maintenance,Master,5,Equipment description shouldn't be blank,Completeness,Description
Equipment,PM - Plant Maintenance,Master,6,"Equipment descriptions are limited to 40 characters and must begin with a noun, followed by qualifiers for the equipment. No commas should be entered to separate words or meanings in the equipment. If a separator is to be used, it should be a dash with no spaces between words. No parenthesis should be used. All capital letters should be used. Periods should not be used to end the description of the equipment",Conformity,Description
Equipment,PM - Plant Maintenance,Master,7,"Must use a current ""Planning Plant"" from SAP [EQUI.WERK]",Completeness,Plant
Equipment,PM - Plant Maintenance,Master,8,Check valid from date [EQUZ.DATAB]. Its required to pass valid from date while creating Equipment in SAP system,Completeness,Valid from Date
Equipment,PM - Plant Maintenance,Master,9,Must contain a current Maintenance Work Center from SAP [EQUZ.GEWRK],Completeness,Work Center
Equipment,PM - Plant Maintenance,Master,10,Equipment category should not be NULL or blank,Completeness,Equipment Category
Equipment,PM - Plant Maintenance,Master,11,Valid from date is mandatory and should exists for the equipment,Completeness,Valid From Date
Equipment,PM - Plant Maintenance,Master,12,"Legacy system should send the Type of Technical Object. (Example: Pump, Motor, Pipe, Reactor etc.,)",Completeness,Technical Object Type
Equipment,PM - Plant Maintenance,Master,13,"Legacy system should send the manufacturer details, such as Manufacturer of the asset, Country/Region of the Manufacturer, Manufacturer model number, Manufacturer serial number, Manufacturer part number, year and month of the construction (as available)",Completeness,Manufacturer details
Internal Order,Finance,Master,1,Check if the orders are active and not blocked/settled,Relevancy,Active Count
Internal Order,Finance,Master,2,Check if the orders are marked for deletion,Relevancy,Active Count
Internal Order,Finance,Master,3,Check if there has been no activity in the internal order for last one year,Relevancy,Active Count
Internal Order,Finance,Master,4,Check if company code is exist in target system,Integrity,Company Code
